State,Jan23 Force,Jan24 Force,Feb23 Force,Feb24 Force,Jan23 Unemp,Jan24 Unemp,Feb23 Unemp,Feb24 Unemp,Jan23 Unemp Perc,Jan24 Unemp Perc,Feb23 Unemp Perc,Feb24 Unemp Perc,State
Port St. Lucie,"232,663","239,094","234,720","239,173","7,466","8,708","7,163","8,760",3.2,3.6,3.1,3.7,Florida
Punta Gorda,"77,604","78,990","78,242","79,346","2,825","3,028","2,630","3,061",3.6,3.8,3.4,3.9,Florida
Sebastian-Vero Beach,"69,131","70,050","69,650","70,158","2,271","2,715","2,208","2,686",3.3,3.9,3.2,3.8,Florida
Sebring,"37,065","37,448","37,325","37,421","1,565","1,761","1,460","1,779",4.2,4.7,3.9,4.8,Florida
Tallahassee,"199,121","205,220","200,906","206,548","6,042","6,781","5,841","6,811",3,3.3,2.9,3.3,Florida
Tampa-St. Petersburg-Clearwater,"1,655,130","1,697,571","1,664,687","1,700,107","47,618","56,786","45,799","56,818",2.9,3.3,2.8,3.3,Florida
The Villages,"38,044","39,366","38,270","39,395","1,647","1,992","1,546","2,012",4.3,5.1,4,5.1,Florida
Georgia,"5,257,992","5,331,582","5,289,125","5,369,028","179,491","165,861","178,114","164,230",3.4,3.1,3.4,3.1,
Albany,"64,911","63,814","65,025","63,940","2,643","2,347","2,700","2,323",4.1,3.7,4.2,3.6,Georgia
Athens-Clarke County,"98,584","103,382","99,935","104,320","3,279","3,210","3,205","3,067",3.3,3.1,3.2,2.9,Georgia
Atlanta-Sandy Springs-Roswell,"3,205,391","3,245,557","3,227,430","3,269,044","104,107","98,324","105,209","98,201",3.2,3,3.3,3,Georgia
Augusta-Richmond County,"263,767","263,898","265,473","265,671","10,356","9,714","10,445","9,983",3.9,3.7,3.9,3.8,Georgia
Brunswick,"53,329","54,823","53,370","55,052","1,761","1,564","1,737","1,603",3.3,2.9,3.3,2.9,Georgia
Columbus,"119,311","121,728","120,044","122,113","5,095","4,706","4,778","4,511",4.3,3.9,4,3.7,Georgia
Dalton,"59,033","60,261","58,993","60,087","3,009","2,606","2,424","2,141",5.1,4.3,4.1,3.6,Georgia
Gainesville,"108,633","113,153","109,317","114,033","2,925","2,618","2,843","2,662",2.7,2.3,2.6,2.3,Georgia
Hinesville,"34,849","34,733","34,988","35,015","1,231","1,048","1,225","1,081",3.5,3,3.5,3.1,Georgia
Macon-Bibb County,"98,653","98,462","99,145","99,041","3,798","3,484","3,803","3,533",3.8,3.5,3.8,3.6,Georgia
Rome,"46,350","48,655","46,865","48,590","1,642","1,583","1,558","1,390",3.5,3.3,3.3,2.9,Georgia
Savannah,"197,769","202,004","199,655","203,436","6,133","5,470","6,088","5,530",3.1,2.7,3,2.7,Georgia
